,LCLid,"('energy_median', 'mean')","('energy_mean', 'mean')","('energy_sum', 'sum')",day_max,energy_max,day_min,energy_min,min_max_ratio,Cluster
0,MAC000094,0.17823053152039556,0.20845818467980576,8067.0539998,5,1.997,5,0.084,0.04206309464196294,0
44,MAC004138,0.07952388289676424,0.10712977198167414,3332.7580001,6,1.475,4,0.036,0.024406779661016946,0
42,MAC004049,0.08731146179401991,0.1904829962304287,5492.0239995,4,3.237,5,0.027,0.008341056533827617,0
39,MAC003868,0.14539939024390242,0.22218056478288456,5232.5839986,4,2.3959999,3,0.025,0.010434057196746963,0
37,MAC003831,0.14216801619433198,0.1606258368788643,3799.5940001000004,6,1.1160001,4,0.096,0.08602149766832459,0
35,MAC003828,0.1394352226720648,0.21811485677119685,5160.315001,6,2.8139999,4,0.033,0.011727079307998553,0
34,MAC003819,0.15003137651821863,0.204224480977171,4829.456,5,2.049,3,0.055,0.026842362127867253,0
27,MAC002311,0.13414614243323442,0.16174032700171778,5216.3780004,6,2.2060001,4,0.092,0.04170444053923661,0
48,MAC005533,0.19850878477306,0.24959989411479908,8162.453001,6,2.266,0,0.006,0.00264783759929391,0
19,MAC001881,0.13323930269413628,0.16612381051387928,5023.8270002,6,1.976,6,0.077,0.03896761133603239,0
17,MAC001830,0.19510522151898732,0.2298365725295666,6941.0309994,5,2.155,3,0.023,0.010672853828306265,0
15,MAC001792,0.13193522906793048,0.20613443593301967,6246.1300009,6,2.2650001,3,0.042,0.018543045538938388,0
24,MAC002071,0.13236618589743587,0.16660043057047302,4975.5600007,4,2.1259999,5,0.067,0.03151458285581293,0
49,MAC005543,0.2707529411764706,0.2909460520311848,9466.868,6,1.505,2,0.034,0.02259136212624585,0
11,MAC001592,0.13923602484472047,0.20743377703790578,6390.7360009,4,2.9460001,4,0.083,0.02817379401989837,0
3,MAC000157,0.21350723763570564,0.24054821096529858,9546.5449998,6,2.0039999,1,0.078,0.03892215763084619,0
4,MAC000352,0.152685595567867,0.22064189732249295,7628.4249998000005,6,2.0680001,4,0.049,0.023694389569903794,0
7,MAC000595,0.15881031976744187,0.221811939350956,7315.3170009000005,6,2.5039999,6,0.053,0.021166135030596445,0
46,MAC005281,0.19471844660194174,0.2592794439145737,5110.883999000001,2,4.3130002,1,0.074,0.01715743022687548,1
45,MAC005207,0.1935984147952444,0.2532507040229138,9188.3090001,0,2.2230000000000003,4,0.057,0.025641025641025637,1
40,MAC003870,0.2495243902439024,0.3261477602063249,7681.2899993,1,2.7479999,1,0.026,0.009461426836296465,1
5,MAC000447,0.1681107193229901,0.20169492234312825,6845.4659998,1,1.653,4,0.09,0.0544464609800363,1
6,MAC000524,0.1327994310099573,0.28994991676919074,9780.2620021,2,3.5940001000000006,4,0.0289999999999999,0.008069003670867983,1
32,MAC003810,0.19523434343434343,0.26623946426691963,6305.929999800001,3,2.0050001,0,0.057,0.028428926262896444,1
30,MAC003734,0.12433567134268536,0.24135017495344685,5774.0359987,2,3.0969999,4,0.073,0.02357119869458181,1
28,MAC003729,0.2428446893787575,0.29046158142269807,6946.7560002,1,2.378,4,0.106,0.044575273338940284,1
13,MAC001636,0.19454836193447736,0.22237308384289717,6817.5170002,0,1.1720001,4,0.107,0.09129692053780541,1
25,MAC002074,0.14529052969502407,0.24313947829543903,7259.8550015,2,2.3239999,2,0.072,0.03098106845873788,1
18,MAC001857,0.2305530063291139,0.26133998436363787,7900.397999700001,2,1.71,4,0.087,0.05087719298245614,1
26,MAC002245,0.0789903988183161,0.141413492684929,4585.7399989000005,2,3.9560001,4,0.119,0.030080889027277832,1
20,MAC001935,0.10514888535031845,0.19831755475466328,5950.2209999,3,3.052,1,0.0,0.0,1
22,MAC002032,0.20691839999999997,0.30690758295158055,9192.0469992,3,3.5680001000000003,5,0.016,0.004484304807054237,1
31,MAC003735,0.15066833667334667,0.2354760780927102,5627.8860012000005,0,2.7509999,2,0.065,0.023627772578254182,1
33,MAC003814,0.10070707070707069,0.12211631837393923,2883.2490000000003,3,1.238,2,0.0139999999999999,0.011308562197092004,2
47,MAC005514,0.06667862371888725,0.08583240122560935,2804.6389997,0,1.109,0,0.023,0.020739404869251576,2
16,MAC001807,0.08878515007898893,0.11200115290192049,3387.3509996000003,1,1.727,4,0.0289999999999999,0.01679212507237979,2
2,MAC000151,0.06282931242460794,0.07804081599885573,3100.4520001,1,1.1160001,4,0.026,0.02329748895183791,2
10,MAC001566,0.07937789799072642,0.09143827269766373,2830.2529998000005,2,1.161,5,0.063,0.05426356589147287,2
8,MAC001012,0.028799999999999992,0.044426069775502536,1412.865,4,1.273,2,0.036,0.028279654359780047,2
41,MAC003871,0.0520650406504065,0.06923898510926595,1628.605,3,0.918,3,0.027,0.029411764705882353,2
9,MAC001335,0.0476615620214395,0.05675024617163409,1767.9370000000001,6,0.8370000000000001,5,0.005,0.005973715651135005,2
36,MAC003830,0.06904554655870446,0.08073827229435211,1906.1720000000003,5,1.23,1,0.067,0.05447154471544716,2
21,MAC001985,0.0689712918660287,0.12387788288517941,3722.5170008,3,2.316,4,0.01,0.004317789291882556,2
38,MAC003847,0.10277281947261663,0.1300036799800269,3070.8230000000003,1,1.355,4,0.062,0.045756457564575644,2
12,MAC001626,0.18226397515527948,0.3052182495002208,9365.812999,3,4.461,4,0.347,0.07778524994395875,3
43,MAC004130,0.3636674347158218,0.38817640967981004,12098.9850005,5,2.2320001,4,0.148,0.06630824075679924,3
1,MAC000097,0.2824962963580247,0.40700682256118115,15810.3069999,5,4.8889999,4,0.118,0.024135815588787392,3
23,MAC002037,0.2140176,0.33568770495120565,10064.0879996,6,3.227,4,0.113,0.03501704369383329,3
14,MAC001771,0.26781803797468356,0.34915248459887327,10529.3289986,5,5.9029999,6,0.134,0.022700322254791162,3
29,MAC003733,0.30032264529058117,0.43765814641338086,10458.0870011,6,3.599,5,0.085,0.02361767157543762,3
